,认定点代码,题型代码,题号,试题（题干）,试题（选项A）,试题（选项B）,试题（选项C）,试题（选项D）,试题（选项E）,【图】及位置,正确答案,难度代码,一致性代码
是的,A-A-A-001,B（单选题）,,（）是社会主义职业道德的核心思想。,为人民服务,执政为民,核心价值观,立党入公,,,A,3（中）,5（好）
,A-A-A-001,B（单选题）,,为人民服务为核心的职业道德，首先要解决的是职工与职工、职工与集体、（）之间利益关系问题和为谁工作的问题。,家庭与生活,上级与下级,职业与职业,个人与国家,,,C,3（中）,5（好）
,A-A-A-001,B（单选题）,,社会主义职业道德的指导原则是（）。,个人主义,集体主义,马克思主义,列宁思想,,,B,3（中）,5（好）
,A-A-A-001,B（单选题）,,社会主义职业道德把社会公德、职业道德、（）作为着力点。,德才兼备,思想品德,个人品德,个人能力,,,C,3（中）,5（好）
,A-A-A-001,C（判断题）,,有阶级的社会形态和社会主义职业道德一样，都以集体主义为原则，以人民利益作为最高利益。（）,正确,错误,,,,,B,3（中）,5（好）
,A-A-A-001,C（判断题）,,社会主义职业道德把爱祖国、爱人民、爱劳动、爱科学、爱社会主义作为社会主义道德的基本要求。（）,正确,错误,,,,,A,3（中）,5（好）
,A-A-A-002,B（单选题）,,《公民道德建设实施纲要》明确提出所有从业人员都应该共同遵守的主要行为规范是（）。,爱岗敬业诚实守信办事公道服务群众奉献社会,懂得服从信守承诺坚守岗位精神饱满用心服务,谨言慎行学习创新艰苦奋斗团结互助维护荣誉,热爱本职秉公执法不谋私利严肃风纪着装整洁,,,A,3（中）,5（好）
,A-A-A-002,B（单选题）,,办事公道是道德规范的重要范畴，其含义主要是（）。,不偏不倚，各打五十大板,坚持原则，按一定的社会标准，实事求是地待人处世,按领导的意图办事,按与个人关系好的人的意见办,,,B,3（中）,5（好）
,A-A-A-002,B（单选题）,,社会主义职业道德的基石和最高境界是（）。,奉献社会,服务群众,诚实守信,爱岗敬业,,,A,3（中）,5（好）
,A-A-A-002,B（单选题）,,关于社会公德的说法中，不属于其规范特点的是（）。,执行的有效性,范围的广泛性,具体行为的细微性,行为的外在礼仪性,,,A,3（中）,5（好）
,A-A-A-002,C（判断题）,,讲究质量、注重信誉是社会主义职业道德最重要的规范之一。（）,正确,错误,,,,,A,3（中）,5（好）
,A-A-A-002,C（判断题）,,社会公德的主要规范是:文明礼貌、助人为乐、爱护公物、勤俭持家、遵纪守法。(),正确,错误,,,,,B,3（中）,5（好）
,A-A-A-003,B（单选题）,,不属于职业道德行为评价方式的是（）。,社会舆论,职业习俗,内心信念,群体评议,,,D,3（中）,5（好）
,A-A-A-003,B（单选题）,,职业道德评价不能够起到（）。,批判作用,激励作用,裁判作用,调节导向作用,,,A,3（中）,5（好）
,A-A-A-003,B（单选题）,,职业道德行为评价的类型不包括（）。,社会评价,上级评价,集体评价,自我评价,,,B,3（中）,5（好）
,A-A-A-003,B（单选题）,,衡量一个公民精神文明水平高低的重要标尺是（）。,职业道德,公民道德,遵纪守法,网络道德,,,B,3（中）,4（较好）
,A-A-A-003,C（判断题）,,职业道德行为评价按主体不同可以分为社会评价、集体评价和自我评价。（）,正确,错误,,,,,A,3（中）,5（好）
,A-A-A-003,C（判断题）,,对职业道德行为进行评价应“以事实为依据，以法律为准绳”。（）,正确,错误,,,,,B,3（中）,5（好）
,A-A-A-004,B（单选题）,,法律对道德的影响主要体现是（）。,强制执行和惩罚措施,规范和约束行为范围,宣传道德价值观,保护公民权利和自由,,,B,3（中）,5（好）
,A-A-A-004,B（单选题）,,道德与法律是社会规范的两个重要方面，他们之间的关系是（）。,范围相同,互不重叠,相辅相成,层次相同,,,C,3（中）,5（好）
,A-A-A-004,B（单选题）,,法律更注重事后和判决和惩戒性，职业道德更注重事前对人们进行教育，因此具有（）。,预防性,先进行,统一性,互补性,,,A,3（中）,5（好）
,A-A-A-004,B（单选题）,,法律通过强制力来强化道德作用，确保道德底线，对道德起到促进作用，是道德的（）。,基础,补充,延续,支撑,,,D,3（中）,5（好）
,A-A-A-004,C（判断题）,,触犯了法律就一定违反了职业道德。（）,正确,错误,,,,,A,4（较难）,5（好）
,A-A-A-004,C（判断题）,,职业道德和法律都体现人民群众的利益和意志。（）,正确,错误,,,,,A,3（中）,5（好）
,A-A-B-001,B（单选题）,,关于遵纪守法正确的说法是（）。,只要品德端正，学不学法无所谓,金钱对人的诱惑力要大于法纪对人的约束力,法律是由人执行的，执行时不能不考虑人情和权力等因素,遵纪守法与职业道德要求具有一致性,,,D,3（中）,5（好）
,A-A-B-001,B（单选题）,,假设你在工作中出现了一次小的失误，暂时还未给单位造成什么损失，领导也没有发现在这种情况下，你认为最好的一种处理办法是（）。,不向任何人提起这件事,不告诉任何人，自己在以后的工作中弥补过失,告诉领导，承认自己的过失并承担相应的责任,告诉自己最好的朋友，请他帮自己想一个最好的办法,,,C,3（中）,5（好）
,A-A-B-001,B（单选题）,,“5.12地震”中，德阳汉旺东汽中学高二（一）班老师谭千秋正在上课，危急时刻张开双臂、躬下身躯护住课桌下的4名同学，献出了51岁的生命，这是（）的最高表现形式。,奉献社会,忠于职守,诚实守信,热爱本职,,,B,4（较难）,5（好）
,A-A-B-001,B（单选题）,,关于爱岗敬业表述不符的是（）。,抓住机遇、竞争上岗,具有奉献精神,勤奋学习，刻苦钻研业务,认真履行岗位职责,,,A,3（中）,5（好）
,A-A-B-001,C（判断题）,,在工作中，只要自己的行为不违反法律法规，就可以不遵守公司规定。（）,正确,错误,,,,,B,3（中）,5（好）
,A-A-B-001,C（判断题）,,酒后开车只违反了交通法规，不违反职业道德。（）,正确,错误,,,,,B,3（中）,4（较好）
,A-A-B-002,B（单选题）,,某工程队在施工时要把网线穿过一根10米长，但直径只有3厘米的管道，而且管道已经砌在墙体里，并且绕了3个弯，用常规方法无法完成任务一位工程师想出一个主意:从宠物市场买来一只老鼠，把一根线绑在老鼠身上，让老鼠沿着管子跑，这样网线安装的难题顺利得到解决这个案例表明（）。,创新的本质是突破,这种方法缺乏专业性，不符合创新的本质,开辟一个新市场才属于创新,这只是歪打正着，不是真正的创新,,,A,3（中）,5（好）
,A-A-B-002,B（单选题）,,关于创新的论述，正确的是（）。,创新与继承根本对立,创新就是独立自主,创新是民族进步的灵魂,创新不需要引进国外新技术,,,C,3（中）,5（好）
,A-A-B-002,B（单选题）,,历涛用1千克面粉，制作并拉出2097152根面条，累计长度为2852千米，相当于从北京到新疆哈密市的距离历涛拉出的面条细如丝，根根不断，一个针眼可穿人18根面条，这个案例表现了（）的职业道德模范。,严于律己,探索创新,技艺精湛,执行工艺,,,C,3（中）,5（好）
,A-A-B-002,B（单选题）,,《庄子》中记载的庖丁解牛的故事体现了（）的职业道德模范。,技艺精湛,精益求精,专心致志,执行工艺,,,B,3（中）,5（好）
,A-A-B-002,C（判断题）,,我国著名画家齐白石，1955年荣获国际和平奖他创作的作品深受世界人民欢迎，赢得高度评价他在艺术创作的道路上，几十年如一日，勤奋不懈，即使在八十岁高龄时，还每日坚持挥毫作画这个案例体现了勤学苦练、精益求精的职业道德模范。（）,正确,错误,,,,,A,3（中）,5（好）
,A-A-B-002,C（判断题）,,开拓创新最重要的是注重创新的方法，其余是次要的。（）,正确,错误,,,,,B,2（易）,5（好）
,A-A-B-003,B（单选题）,,在无人机电池即将耗尽时，应该（）。,继续飞行，直到电池耗尽,在当前位置紧急降落,快速返回起点,快速降低高度，寻找安全地点降落,,,D,3（中）,5（好）
,A-A-B-003,B（单选题）,,为确保安全充电，无人机电池最佳温度范围是（）。,负10°C至50°C,0°C至40°C,5°C至35°C,15°C至30°C,,,D,3（中）,5（好）
,A-A-B-003,B（单选题）,,在强风条件下，无人机的飞行高度应该控制在（）以下。,100米,200米,300米,400米,,,A,3（中）,5（好）
,A-A-B-003,B（单选题）,,在测试无人机时，为防止意外失控，正确的预防措施是（  ）。,提前设置好自动返航功能，确保失控时能自动飞回起点,关闭飞控的报警系统，避免飞行过程中受到干扰,单手操控遥控器，另一只手随时准备重启无人机,尽量在信号弱的区域飞行，锻炼操控技巧,,,A,3（中）,5（好）
,A-A-B-003,C（判断题）,,无人机长时间试飞结束后立即对电池充电。（）,正确,错误,,,,,B,3（中）,5（好）
,A-A-B-003,C（判断题）,,在维护无人机机载镜头时，可以使用纸巾擦拭。（）,正确,错误,,,,,B,3（中）,5（好）
,A-A-B-004,B（单选题）,,在使用生产设备时，不符合规程的是（）。,遵守工艺流程,穿戴防护装备,超负荷运转设备,定期维护保养,,,C,3（中）,5（好）
,A-A-B-004,B（单选题）,,在生产过程中，如果发现设备异常，做法正确的是（）。,立即停机检查,继续使用直到故障发生,自行拆卸设备进行修理,忽略异常继续工作,,,A,3（中）,5（好）
,A-A-B-004,B（单选题）,,设备维护规程中的“五定”原则通常包括（）。,定时、定点、定量、定质、定人,定时、定位、定量、定质、定法,定人、定时、定位、定量、定质,定人、定时、定位、定量、定法,,,A,3（中）,5（好）
,A-A-B-004,B（单选题）,,（）步骤直接影响到产品的最终质量。,原材料采购,产品设计,工艺执行,品质检验,,,C,3（中）,5（好）
,A-A-B-004,C（判断题）,,执行工艺的优化通常需要考虑成本、时间、人力、资源、质量、效率等综合因素。（）,正确,错误,,,,,A,3（中）,5（好）
,A-A-B-004,C（判断题）,,执行工艺中的"工艺参数"主要是材料种类、设备型号两项。（）,正确,错误,,,,,B,3（中）,5（好）
,A-A-B-005,B（单选题）,,《吕氏春秋》中讲到，“万人操弓，共射一招，招无不中”，这说明了（）。,“宝剑锋自磨砺出，梅花香自苦寒来”,“小胜靠智，大胜靠德”,“一双筷子容易折，十双筷子断就难’,“成由勤俭败由奢”,,,C,3（中）,5（好）
,A-A-B-005,B（单选题）,,“单丝不成线，独木不成林”说明了（）。,要勇于坚持真理,要正确处理个人与集体的关系，注重集体力量,做事要更公平公正,要发扬勤劳节俭的优良传统,,,B,3（中）,5（好）
,A-A-B-005,B（单选题）,,“舟必漏而后人水，石必湿而后苔生”说明（）。,要努力实现自身的社会价值,个人品德修养要从细微处严格要求自己，对不好的品行要防微杜渐,要积极向前人学习,要正确处理公与私之间的关系,,,B,5（难）,5（好）
,A-A-B-005,B（单选题）,,符合“慎独”道德规范的是（）。,夜以继日，废寝忘食,精忠报国，反对侵略,修身为本，严于律已,立志勤学，持之以恒,,,C,3（中）,5（好）
,A-A-B-005,C（判断题）,,“慎独”就是在无人监督的情况下，也要坚持自己的内心真诚、光明磊落的道德信念，不做不道德的事情。（）,正确,错误,,,,,A,3（中）,5（好）
,A-A-B-005,C（判断题）,,团结同事首先要坦诚待人、热情忍让、宽厚仁慈，同时重点考虑本部门及个人利益。（）,正确,错误,,,,,B,3（中）,5（好）
,A-A-B-006,B（单选题）,,文明生产的核心价值之一是可持续性，这意味着（）。,生产过程不能消耗自然资源,生产过程不能产生废弃物,生产过程要尽可能减少对环境的影响,生产过程要保护野生动物,,,C,3（中）,5（好）
,A-A-B-006,B（单选题）,,在包装材料的选择上，（）选择更符合环保理念。,可降解材料,可回收材料,少量包装,使用可重复使用的包装,,,A,3（中）,5（好）
,A-A-B-006,B（单选题）,,在公共场所吸烟且不听从劝阻，这主要违背了（）。,治安管理规定,消防安全规定,公共场所禁烟规定,城市管理规定,,,C,3（中）,4（较好）
,A-A-B-006,B（单选题）,,企业通过（）处理生产废料以实现资源的最大化利用。,分类回收,循环利用,转售给专业回收公司,直接填埋或焚烧,,,B,3（中）,5（好）
,A-A-B-006,C（判断题）,,环境保护坚持保护优先、预防为主、综合治理、公众参与、损害担责的原则。（）,正确,错误,,,,,A,3（中）,5（好）
,A-A-B-006,C（判断题）,,绿色工厂是指原料无害化、生产洁净化、废物资源化、能源低碳化的企业，是绿色制造核心实施单元，对用地集约率没有要求。（）,正确,错误,,,,,B,3（中）,5（好）
,A-B-A-001,B（单选题）,,不是无人机特点的是（）。,无人驾驶,远程控制,超快速飞行,可执行任务,,,B,3（中）,5（好）
,A-B-A-001,B（单选题）,,无人机（UAV）的定义是（）。,一种由人类远程控制的飞行器,利用无线电遥控设备和自备的程序控制装置操纵的不载人飞行器,利用无线电遥控设备操纵的快速飞行的不载人飞行器,利用自备的程序控制装置操纵的快速飞行的不载人飞行器,,,B,3（中）,4（较好）
,A-B-A-001,B（单选题）,,不是无人机特点的是（）。,体积小,造价高,机动性好,使用方便,,,B,3（中）,5（好）
,A-B-A-001,B（单选题）,,无人机是利用（）设备和自备的程序控制装置操纵的不载人飞机。,遥控,导航,飞行,通讯,,,A,3（中）,5（好）
,A-B-A-001,C（判断题）,,无人机是完全不需要人工干预就能自主飞行的飞行器。（）,正确,错误,,,,,B,3（中）,5（好）
,A-B-A-001,C（判断题）,,无人机的飞行原理和有人驾驶飞机的飞行原理完全不同。（）,正确,错误,,,,,B,3（中）,5（好）
,A-B-A-002,B（单选题）,,（）不是无人机系统必备的组成部分。,飞行器,传感器,数据处理设备,操作员,,,D,3（中）,5（好）
,A-B-A-002,B（单选题）,,无人机系统中，（）部分主要负责飞行控制、导航与自主飞行能力的实现。,飞行平台,任务载荷,飞控系统,数据链系统,,,C,3（中）,4（较好）
,A-B-A-002,B（单选题）,,无人机系统中，负责提供升力和推进力的部分是（）。,机翼,发动机,螺旋桨,电池,,,C,3（中）,5（好）
,A-B-A-002,B（单选题）,,相比于人的大脑，无人机的'大脑'指的是（）。,机身,传感器,飞行控制系统,电机,,,C,3（中）,5（好）
,A-B-A-002,C（判断题）,,无人机系统只包括无人机本身，不包括地面控制站等部分。（）,正确,错误,,,,,B,3（中）,5（好）
,A-B-A-002,C（判断题）,,无人机系统中的数据链路主要用于传输无人机的位置信息。（）,正确,错误,,,,,B,3（中）,5（好）
,A-B-A-003,B（单选题）,,（）不是用于无人机模拟飞行的软件。,MicrosoftFlightSimulator,凤凰模拟器,DroneRacer:FlyStuntSimulator,RealFlightG7,,,A,3（中）,5（好）
,A-B-A-003,B（单选题）,,（）操作系统通常对无人机模拟飞行软件兼容性最好。,Windows,macOS,Linux,ChromeOS,,,A,3（中）,5（好）
,A-B-A-003,B（单选题）,,"在安装无人机模拟飞行软件时，首先应该做的是（）。
",插入加密狗（如果有）,检查系统配置是否满足要求,下载软件安装包,创建软件快捷方式,,,B,3（中）,5（好）
,A-B-A-003,B（单选题）,,使用无人机模拟飞行软件时，（）不是基本操作。,起飞和降落,悬停控制,飞行环境设置,物理引擎调整,,,D,3（中）,5（好）
