题目ID,题目陈述,题目类型,题目分类,难度等级,分值,参数名称,参数描述,数据类型,正确答案,容差值,最小值,最大值,单位,需要飞控读取,验证方法,解释说明,创建人,创建时间,是否启用
00001,将系统ID参数SYSID_THISMAV设置为1,ParameterSetting,BasicParameters,Easy,3,SYSID_THISMAV,MAVLink系统ID,Integer,1,0,1,255,,true,ExactMatch,系统ID用于区分不同的飞行器,AI生成器,2024-12-19 10:00:00,true
00002,验证地面站ID参数SYSID_MYGCS是否设置为255,ParameterVerify,BasicParameters,Easy,3,SYSID_MYGCS,地面站系统ID,Integer,255,0,1,255,,true,ExactMatch,地面站ID用于识别控制站,AI生成器,2024-12-19 10:00:01,true
00003,设置电机最小旋转速度MOT_SPIN_MIN为0.15,ParameterSetting,BasicParameters,Medium,5,MOT_SPIN_MIN,电机最小旋转速度,Float,0.15,0.001,0,0.3,%,true,FloatTolerance,控制电机怠速时的最小转速,AI生成器,2024-12-19 10:00:02,true
00004,验证电机最大旋转速度MOT_SPIN_MAX的值是否为0.95,ParameterVerify,BasicParameters,Medium,4,MOT_SPIN_MAX,电机最大旋转速度,Float,0.95,0.001,0.9,1.0,%,true,FloatTolerance,限制电机的最大转速,AI生成器,2024-12-19 10:00:03,true
00005,将解锁时电机速度MOT_SPIN_ARM设置为0.1,ParameterSetting,BasicParameters,Medium,4,MOT_SPIN_ARM,解锁时电机速度,Float,0.1,0.001,0,0.2,%,true,FloatTolerance,解锁后电机开始旋转的速度,AI生成器,2024-12-19 10:00:04,true
00006,设置悬停油门值MOT_THST_HOVER为0.35,ParameterSetting,BasicParameters,Medium,5,MOT_THST_HOVER,悬停油门值,Float,0.35,0.01,0.2,0.8,%,true,FloatTolerance,维持悬停所需的油门百分比,AI生成器,2024-12-19 10:00:05,true
00007,验证电机推力曲线指数MOT_THST_EXPO是否设置为0.65,ParameterVerify,BasicParameters,Hard,6,MOT_THST_EXPO,电机推力曲线指数,Float,0.65,0.01,0,1.0,,true,FloatTolerance,调整电机推力响应的非线性特性,AI生成器,2024-12-19 10:00:06,true
00008,将横滚速率P增益ATC_RAT_RLL_P设置为0.135,ParameterSetting,PIDTuning,Medium,5,ATC_RAT_RLL_P,横滚速率P增益,Float,0.135,0.001,0,0.5,,true,FloatTolerance,控制横滚轴角速度的比例增益,AI生成器,2024-12-19 10:00:07,true
00009,设置横滚速率I增益ATC_RAT_RLL_I为0.135,ParameterSetting,PIDTuning,Medium,5,ATC_RAT_RLL_I,横滚速率I增益,Float,0.135,0.001,0,0.5,,true,FloatTolerance,消除横滚轴角速度的稳态误差,AI生成器,2024-12-19 10:00:08,true
00010,验证横滚速率D增益ATC_RAT_RLL_D的值是否为0.004,ParameterVerify,PIDTuning,Hard,6,ATC_RAT_RLL_D,横滚速率D增益,Float,0.004,0.0001,0,0.02,,true,FloatTolerance,阻尼横滚轴角速度的震荡,AI生成器,2024-12-19 10:00:09,true
00011,将俯仰速率P增益ATC_RAT_PIT_P设置为0.135,ParameterSetting,PIDTuning,Medium,5,ATC_RAT_PIT_P,俯仰速率P增益,Float,0.135,0.001,0,0.5,,true,FloatTolerance,控制俯仰轴角速度的比例增益,AI生成器,2024-12-19 10:00:10,true
00012,设置俯仰速率I增益ATC_RAT_PIT_I为0.135,ParameterSetting,PIDTuning,Medium,5,ATC_RAT_PIT_I,俯仰速率I增益,Float,0.135,0.001,0,0.5,,true,FloatTolerance,消除俯仰轴角速度的稳态误差,AI生成器,2024-12-19 10:00:11,true
00013,验证俯仰速率D增益ATC_RAT_PIT_D是否为0.004,ParameterVerify,PIDTuning,Hard,6,ATC_RAT_PIT_D,俯仰速率D增益,Float,0.004,0.0001,0,0.02,,true,FloatTolerance,阻尼俯仰轴角速度的震荡,AI生成器,2024-12-19 10:00:12,true
00014,将偏航速率P增益ATC_RAT_YAW_P设置为0.18,ParameterSetting,PIDTuning,Medium,5,ATC_RAT_YAW_P,偏航速率P增益,Float,0.18,0.001,0,0.5,,true,FloatTolerance,控制偏航轴角速度的比例增益,AI生成器,2024-12-19 10:00:13,true
00015,设置偏航速率I增益ATC_RAT_YAW_I为0.02,ParameterSetting,PIDTuning,Medium,5,ATC_RAT_YAW_I,偏航速率I增益,Float,0.02,0.001,0,0.1,,true,FloatTolerance,消除偏航轴角速度的稳态误差,AI生成器,2024-12-19 10:00:14,true
