题目ID,题目陈述,题目类型,题目分类,难度等级,分值,参数名称,参数描述,数据类型,正确答案,容差值,最小值,最大值,单位,需要飞控读取,验证方法,解释说明,创建人,创建时间,是否启用
00002,验证惯性导航系统参数AHRS_GPS_GAIN的配置,ParameterVerify,AdvancedFeatures,Hard,6,AHRS_GPS_GAIN,GPS增益,Float,1.0,0.100000,0.0,1.0,,True,FloatTolerance,GPS在姿态估计中的权重,系统,2024-01-01 10:29:00,True
00003,检查惯导参数AHRS_ORIENTATION的方向设置,ParameterVerify,SensorCalibration,Medium,4,AHRS_ORIENTATION,AHRS方向,Integer,0,0.000000,0,38,,True,ExactMatch,飞控板的安装方向,系统,2024-01-01 10:43:00,True
00007,将角度模式最大倾斜角ANGLE_MAX设置为30度,ParameterSetting,FlightModes,Easy,3,ANGLE_MAX,最大倾斜角,Integer,3000,0.000000,1000,8000,厘度,True,ExactMatch,稳定模式下的最大倾斜角度,系统,2024-01-01 10:44:00,True
00008,验证多旋翼飞行器的最大倾斜角度ANGLE_MAX是否设置为4500,ParameterVerify,FlightModes,Medium,4,ANGLE_MAX,最大倾斜角度,Integer,4500,0.000000,1000,8000,厘度,True,ExactMatch,限制飞行器在稳定模式下的最大倾斜角度,系统,2024-01-01 10:03:00,True
00009,验证倾斜角最大值ANGLE_MAX是否设置为30度,ParameterVerify,SafetySettings,Medium,4,ANGLE_MAX,最大倾斜角,Integer,3000,10.000000,1000,8000,厘度,True,ExactMatch,限制飞行器的最大倾斜角度,AI生成器,2024-12-19 10:00:33,True
00011,设置解锁检查ARMING_CHECK为1,ParameterSetting,SafetySettings,Medium,4,ARMING_CHECK,解锁检查,Integer,1,0.000000,0,1,,True,ExactMatch,启用解锁前的安全检查,AI生成器,2024-12-19 10:00:38,True
00016,验证俯仰加速度ATC_ACCEL_P_MAX是否为110000,ParameterVerify,PIDTuning,Medium,5,ATC_ACCEL_P_MAX,俯仰加速度最大值,Float,110000,5000.000000,36000,180000,°/s²,True,FloatTolerance,俯仰轴最大角加速度,AI生成器,2024-12-19 10:01:48,True
00017,设置横滚加速度ATC_ACCEL_R_MAX为110000,ParameterSetting,PIDTuning,Medium,5,ATC_ACCEL_R_MAX,横滚加速度最大值,Float,110000,5000.000000,36000,180000,°/s²,True,FloatTolerance,横滚轴最大角加速度,AI生成器,2024-12-19 10:01:47,True
00018,将制动加速度ATC_ACCEL_Y_MAX设置为27000,ParameterSetting,PIDTuning,Medium,5,ATC_ACCEL_Y_MAX,偏航加速度最大值,Float,27000,1000.000000,9000,54000,°/s²,True,FloatTolerance,偏航轴最大角加速度,AI生成器,2024-12-19 10:01:46,True
00020,验证俯仰角度P增益ATC_ANG_PIT_P的值是否为4.5,ParameterVerify,PIDTuning,Medium,5,ATC_ANG_PIT_P,俯仰角度P增益,Float,4.5,0.100000,0,12,,True,FloatTolerance,控制俯仰角度响应的比例增益,AI生成器,2024-12-19 10:00:27,True
00022,设置横滚角度P增益ATC_ANG_RLL_P为4.5,ParameterSetting,PIDTuning,Medium,5,ATC_ANG_RLL_P,横滚角度P增益,Float,4.5,0.100000,0,12,,True,FloatTolerance,控制横滚角度响应的比例增益,AI生成器,2024-12-19 10:00:26,True
00024,将偏航角度P增益ATC_ANG_YAW_P设置为4.5,ParameterSetting,PIDTuning,Medium,5,ATC_ANG_YAW_P,偏航角度P增益,Float,4.5,0.100000,0,12,,True,FloatTolerance,控制偏航角度响应的比例增益,AI生成器,2024-12-19 10:00:28,True
00025,验证俯仰速率D增益ATC_RAT_PIT_D是否为0.004,ParameterVerify,PIDTuning,Hard,6,ATC_RAT_PIT_D,俯仰速率D增益,Float,0.004,0.000100,0,0.02,,True,FloatTolerance,阻尼俯仰轴角速度的震荡,AI生成器,2024-12-19 10:00:12,True
00026,验证俯仰速率前馈ATC_RAT_PIT_FF是否为0,ParameterVerify,PIDTuning,Hard,6,ATC_RAT_PIT_FF,俯仰速率前馈,Float,0,0.010000,0,0.5,,True,FloatTolerance,俯仰速率控制前馈增益,AI生成器,2024-12-19 10:02:35,True
00028,设置俯仰速率I增益ATC_RAT_PIT_I为0.135,ParameterSetting,PIDTuning,Medium,5,ATC_RAT_PIT_I,俯仰速率I增益,Float,0.135,0.001000,0,0.5,,True,FloatTolerance,消除俯仰轴角速度的稳态误差,AI生成器,2024-12-19 10:00:11,True
00030,将俯仰速率P增益ATC_RAT_PIT_P设置为0.135,ParameterSetting,PIDTuning,Medium,5,ATC_RAT_PIT_P,俯仰速率P增益,Float,0.135,0.001000,0,0.5,,True,FloatTolerance,控制俯仰轴角速度的比例增益,AI生成器,2024-12-19 10:00:10,True
