,认定点代码,题型代码,题号,试题（题干）,试题（选项A）,试题（选项B）,试题（选项C）,试题（选项D）,试题（选项E）,【图】及位置,正确答案,难度代码,一致性代码,解析,,,,,,,,,,,
1,A-A-A-001,B（单选题）,,（）是社会主义职业道德的核心思想。,为人民服务,执政为民,核心价值观,立党入公,,,A,3（中）,5（好）,,,,,,,,,,,,
2,A-A-A-001,B（单选题）,,为人民服务为核心的职业道德，首先要解决的是职工与职工、职工与集体、（）之间利益关系问题和为谁工作的问题。,家庭与生活,上级与下级,职业与职业,个人与国家,,,C,3（中）,5（好）,,,,,,,,,,,,
3,A-A-A-001,B（单选题）,,社会主义职业道德的指导原则是（）。,个人主义,集体主义,马克思主义,列宁思想,,,B,3（中）,5（好）,,,,,,,,,,,,
4,A-A-A-001,B（单选题）,,社会主义职业道德把社会公德、职业道德、（）作为着力点。,德才兼备,思想品德,个人品德,个人能力,,,C,3（中）,5（好）,,,,,,,,,,,,
5,A-A-A-001,C（判断题）,,有阶级的社会形态和社会主义职业道德一样，都以集体主义为原则，以人民利益作为最高利益。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
6,A-A-A-001,C（判断题）,,社会主义职业道德把爱祖国、爱人民、爱劳动、爱科学、爱社会主义作为社会主义道德的基本要求。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
7,A-A-A-002,B（单选题）,,《公民道德建设实施纲要》明确提出所有从业人员都应该共同遵守的主要行为规范是（）。,爱岗敬业诚实守信办事公道服务群众奉献社会,懂得服从信守承诺坚守岗位精神饱满用心服务,谨言慎行学习创新艰苦奋斗团结互助维护荣誉,热爱本职秉公执法不谋私利严肃风纪着装整洁,,,A,3（中）,5（好）,,,,,,,,,,,,
8,A-A-A-002,B（单选题）,,办事公道是道德规范的重要范畴，其含义主要是（）。,不偏不倚，各打五十大板,坚持原则，按一定的社会标准，实事求是地待人处世,按领导的意图办事,按与个人关系好的人的意见办,,,B,3（中）,5（好）,,,,,,,,,,,,
9,A-A-A-002,B（单选题）,,社会主义职业道德的基石和最高境界是（）。,奉献社会,服务群众,诚实守信,爱岗敬业,,,A,3（中）,5（好）,,,,,,,,,,,,
10,A-A-A-002,B（单选题）,,关于社会公德的说法中，不属于其规范特点的是（）。,执行的有效性,范围的广泛性,具体行为的细微性,行为的外在礼仪性,,,A,3（中）,5（好）,,,,,,,,,,,,
11,A-A-A-002,C（判断题）,,讲究质量、注重信誉是社会主义职业道德最重要的规范之一。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
12,A-A-A-002,C（判断题）,,社会公德的主要规范是:文明礼貌、助人为乐、爱护公物、勤俭持家、遵纪守法。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
13,A-A-A-003,B（单选题）,,不属于职业道德行为评价方式的是（）。,社会舆论,职业习俗,内心信念,群体评议,,,D,3（中）,5（好）,,,,,,,,,,,,
14,A-A-A-003,B（单选题）,,职业道德评价不能够起到（）。,批判作用,激励作用,裁判作用,调节导向作用,,,A,3（中）,5（好）,,,,,,,,,,,,
