,认定点代码,题型代码,题号,试题（题干）,试题（选项A）,试题（选项B）,试题（选项C）,试题（选项D）,试题（选项E）,【图】及位置,正确答案,难度代码,一致性代码,解析,,,,,,,,
卷一b1,A-A-A-001,B（单选题）,,职业道德行为评价的类型不包括（）。,社会评价,上级评价,集体评价,自我评价,,,B,3（中）,5（好）,,,,,,,,,
卷二b1,A-A-A-002,B（单选题）,,社会主义职业道德把社会公德、职业道德、（）作为着力点。,德才兼备,思想品德,个人品德,个人能力,,,C,3（中）,5（好）,,,,,,,,,
卷三b1,A-A-A-001,B（单选题）,,社会主义职业道德的指导原则是（）。,个人主义,集体主义,马克思主义,列宁思想,,,B,3（中）,5（好）,,,,,,,,,
卷四b1,A-A-A-002,B（单选题）,,为人民服务为核心的职业道德，首先要解决的是职工与职工、职工与集体、（）之间利益关系问题和为谁工作的问题。,家庭与生活,上级与下级,职业与职业,个人与国家,,,C,3（中）,5（好）,,,,,,,,,
卷五b1,A-A-A-001,B（单选题）,,《公民道德建设实施纲要》明确提出所有从业人员都应该共同遵守的主要行为规范是（  ）。,爱岗敬业 诚实守信 办事公道 服务群众 奉献社会,懂得服从 信守承诺 坚守岗位 精神饱满 用心服务,谨言慎行 学习创新 艰苦奋斗 团结互助 维护荣誉,热爱本职 秉公执法 不谋私利 严肃风纪 着装整洁,,,A,3（中）,5（好）,,,,,,,,,
卷六b1,A-A-A-002,B（单选题）,,办事公道是道德规范的重要范畴，其含义主要是（）。,不偏不倚，各打五十大板,坚持原则，按一定的社会标准，实事求是地待人处世,按领导的意图办事,按与个人关系好的人的意见办,,,B,3（中）,5（好）,,,,,,,,,
卷七b1,A-A-A-001,B（单选题）,,社会主义职业道德的基石和最高境界是（）。,奉献社会,服务群众,诚实守信,爱岗敬业,,,A,3（中）,5（好）,,,,,,,,,
卷八b1,A-A-A-002,B（单选题）,,不属于职业道德行为评价方式的是（）。,社会舆论,职业习俗,内心信念,群体评议,,,D,3（中）,5（好）,,,,,,,,,
卷九b1,A-A-A-001,B（单选题）,,职业道德行为评价的类型不包括（）。,社会评价,上级评价,集体评价,自我评价,,,B,3（中）,5（好）,,,,,,,,,
卷十b1,A-A-A-002,B（单选题）,,职业道德评价不能够起到（）。,批判作用,激励作用,裁判作用,调节导向作用,,,A,3（中）,5（好）,,,,,,,,,
