题目ID,题目陈述,题目类型,题目分类,难度等级,分值,参数名称,参数描述,数据类型,正确答案,容差值,最小值,最大值,单位,需要飞控读取,验证方法,解释说明,创建人,创建时间,是否启用
00001,"将俯仰角速度控制器P增益参数MC_PITCHRATE_P设置为0.15",ParameterSetting,PIDTuning,Medium,5,MC_PITCHRATE_P,俯仰角速度控制器P增益,Float,0.15,0.001,0.0,1.0,,True,FloatTolerance,P增益控制俯仰角速度响应的快速性,系统,2024-01-01 10:00:00,True
00002,"验证横滚角速度控制器I增益参数MC_ROLLRATE_I的值是否为0.05",ParameterVerify,PIDTuning,Easy,3,MC_ROLLRATE_I,横滚角速度控制器I增益,Float,0.05,0.001,0.0,0.5,,True,FloatTolerance,I增益用于消除横滚角速度控制的稳态误差,系统,2024-01-01 10:01:00,True
00003,"设置偏航角速度控制器D增益参数MC_YAWRATE_D为0.01",ParameterSetting,PIDTuning,Medium,4,MC_YAWRATE_D,偏航角速度控制器D增益,Float,0.01,0.0001,0.0,0.1,,True,FloatTolerance,D增益用于抑制偏航角速度控制的振荡,系统,2024-01-01 10:02:00,True
00004,"验证多旋翼飞行器的最大倾斜角度ANGLE_MAX是否设置为4500",ParameterVerify,FlightModes,Medium,4,ANGLE_MAX,最大倾斜角度,Integer,4500,0,1000,8000,厘度,True,ExactMatch,限制飞行器在稳定模式下的最大倾斜角度,系统,2024-01-01 10:03:00,True
00005,"将高度保持控制器P增益ALT_HOLD_RTL设置为2.5",ParameterSetting,BasicParameters,Easy,3,ALT_HOLD_RTL,高度保持RTL模式,Float,2.5,0.1,0.0,10.0,,True,FloatTolerance,控制RTL模式下的爬升速度,系统,2024-01-01 10:04:00,True
00006,"检查GPS故障保护动作参数FAILSAFE_GPS_ENABLE的设置",ParameterVerify,SafetySettings,Hard,6,FAILSAFE_GPS_ENABLE,GPS故障保护使能,Integer,1,0,0,2,,True,ExactMatch,启用GPS信号丢失时的故障保护措施,系统,2024-01-01 10:05:00,True
00007,"设置罗盘偏角参数COMPASS_DEC为-11.5度",ParameterSetting,SensorCalibration,Medium,4,COMPASS_DEC,磁偏角,Float,-11.5,0.1,-180.0,180.0,度,True,FloatTolerance,本地磁偏角用于罗盘校正,系统,2024-01-01 10:06:00,True
00008,"验证电池电压监测参数BATT_MONITOR是否启用",ParameterVerify,SafetySettings,Easy,3,BATT_MONITOR,电池监测类型,Integer,4,0,0,25,,True,ExactMatch,选择电池电压和电流监测方式,系统,2024-01-01 10:07:00,True
00009,"将遥控器通道1的最小值RC1_MIN设置为1100",ParameterSetting,BasicParameters,Easy,3,RC1_MIN,遥控器通道1最小值,Integer,1100,0,800,1300,微秒,True,ExactMatch,设置横滚通道的最小PWM值,系统,2024-01-01 10:08:00,True
00010,"设置着陆检测参数LAND_REPOSITION为1",ParameterSetting,FlightModes,Medium,4,LAND_REPOSITION,着陆重新定位,Integer,1,0,0,1,,True,ExactMatch,允许着陆时自动调整位置,系统,2024-01-01 10:09:00,True
00011,"验证加速度计校准参数ACCEL_X_BIAS的数值范围",ParameterVerify,SensorCalibration,Hard,5,ACCEL_X_BIAS,X轴加速度计偏置,Float,0.0,0.1,-3.5,3.5,m/s²,True,NumericRange,X轴加速度计的零点偏置校正,系统,2024-01-01 10:10:00,True
00012,"设置自动起飞高度参数WPNAV_TAKEOFF_ALT为300厘米",ParameterSetting,FlightModes,Easy,3,WPNAV_TAKEOFF_ALT,自动起飞高度,Float,300,1,50,1000,厘米,True,FloatTolerance,自动模式下的起飞目标高度,系统,2024-01-01 10:11:00,True
00013,"检查机架类型参数FRAME_TYPE的当前配置",ParameterVerify,BasicParameters,Medium,4,FRAME_TYPE,机架类型,Integer,1,0,0,18,,True,ExactMatch,定义多旋翼的机架配置类型,系统,2024-01-01 10:12:00,True
00014,"将位置控制器P增益WPNAV_SPEED设置为500",ParameterSetting,PIDTuning,Medium,4,WPNAV_SPEED,航点导航速度,Float,500,10,50,2000,厘米/秒,True,FloatTolerance,自动模式下的最大水平速度,系统,2024-01-01 10:13:00,True
00015,"验证气压计校准参数BARO_GND_PRESS的有效性",ParameterVerify,SensorCalibration,Medium,4,BARO_GND_PRESS,地面气压,Float,101325,100,95000,108000,帕斯卡,True,NumericRange,海平面标准大气压力值,系统,2024-01-01 10:14:00,True
00016,"设置电机输出频率参数MOT_PWM_MAX为2000",ParameterSetting,AdvancedFeatures,Hard,6,MOT_PWM_MAX,电机PWM最大值,Integer,2000,0,1200,2200,微秒,True,ExactMatch,电机ESC的最大PWM信号值,系统,2024-01-01 10:15:00,True
00017,"检查安全开关参数BRD_SAFETYENABLE的状态",ParameterVerify,SafetySettings,Easy,3,BRD_SAFETYENABLE,安全开关使能,Integer,1,0,0,1,,True,ExactMatch,启用安全开关功能,系统,2024-01-01 10:16:00,True
00018,"将GPS导航速度参数WPNAV_RADIUS设置为200厘米",ParameterSetting,FlightModes,Medium,4,WPNAV_RADIUS,航点半径,Float,200,5,10,1000,厘米,True,FloatTolerance,到达航点时的接受半径,系统,2024-01-01 10:17:00,True
00019,"验证陀螺仪校准参数GYRO_X_OFFS的数值",ParameterVerify,SensorCalibration,Hard,5,GYRO_X_OFFS,X轴陀螺仪偏置,Float,0.0,0.01,-1.8,1.8,弧度/秒,True,NumericRange,X轴陀螺仪的零点偏置校正,系统,2024-01-01 10:18:00,True
00020,"设置遥控器失效保护参数FS_THR_ENABLE为1",ParameterSetting,SafetySettings,Medium,5,FS_THR_ENABLE,油门故障保护,Integer,1,0,0,2,,True,ExactMatch,启用油门信号丢失时的故障保护,系统,2024-01-01 10:19:00,True
00021,"将高度控制最大上升速度WPNAV_SPEED_UP设置为250",ParameterSetting,FlightModes,Medium,4,WPNAV_SPEED_UP,最大上升速度,Float,250,5,50,500,厘米/秒,True,FloatTolerance,自动模式下的最大垂直上升速度,系统,2024-01-01 10:20:00,True
00022,"验证罗盘1的设备ID参数COMPASS_DEV_ID",ParameterVerify,SensorCalibration,Medium,4,COMPASS_DEV_ID,罗盘设备ID,Integer,131874,0,0,2147483647,,True,ExactMatch,第一个罗盘传感器的设备标识,系统,2024-01-01 10:21:00,True
00023,"设置电池低电压警告参数BATT_LOW_VOLT为14.5V",ParameterSetting,SafetySettings,Easy,3,BATT_LOW_VOLT,电池低电压,Float,14.5,0.1,6.0,30.0,伏特,True,FloatTolerance,触发低电压警告的阈值,系统,2024-01-01 10:22:00,True
00024,"检查自动降落速度参数WPNAV_SPEED_DN的设置",ParameterVerify,FlightModes,Medium,4,WPNAV_SPEED_DN,最大下降速度,Float,150,5,30,500,厘米/秒,True,FloatTolerance,自动模式下的最大垂直下降速度,系统,2024-01-01 10:23:00,True
