序号,认定点代码,题型代码,题号,试题（题干）。,试题（选项A）,试题（选项B）,试题（选项C）,试题（选项D）,试题（选项E）,【图】及位置,正确答案,难度代码,一致性代码,,,
1,A-A-A-001,B（单选题）,,为人民服务为核心的职业道德，首先要解决的是职工与职工、职工与集体、（）之间利益关系问题和为谁工作的问题。,家庭与生活,上级与下级,职业与职业,个人与国家,,,C,3（中）,5（好）,,,
2,A-A-A-001,B（单选题）,,社会主义职业道德的指导原则是（）。,个人主义,集体主义,马克思主义,列宁思想,,,B,3（中）,5（好）,,,
3,A-A-A-001,B（单选题）,,社会主义职业道德把社会公德、职业道德、（）作为着力点。,德才兼备,思想品德,个人品德,个人能力,,,C,3（中）,5（好）,,,
4,A-A-A-001,C（判断题）,,有阶级的社会形态和社会主义职业道德一样，都以集体主义为原则，以人民利益作为最高利益。（）,正确,错误,,,,,B,3（中）,5（好）,,,
5,A-A-A-001,C（判断题）,,社会主义职业道德把爱祖国、爱人民、爱劳动、爱科学、爱社会主义作为社会主义道德的基本要求。（）,正确,错误,,,,,A,3（中）,5（好）,,,
6,A-A-A-001,G（多选题）,,职业道德的特点主要包括（）。,行业性,继承性,多样性,先进性,时代性,,ABC,3（中）,5（好）,,,
7,A-A-A-001,G（多选题）,,职业记录的一致性主要体现在（）。,行业规范与准则,内部规章制度,职业纪律处分机制,对工作流程的严格要求,随着时代发展而变化,,ABCD,4（较难）,5（好）,,,
8,A-A-A-002,B（单选题）,,《公民道德建设实施纲要》明确提出所有从业人员都应该共同遵守的主要行为规范是（  ）。,爱岗敬业 诚实守信 办事公道 服务群众 奉献社会,懂得服从 信守承诺 坚守岗位 精神饱满 用心服务,谨言慎行 学习创新 艰苦奋斗 团结互助 维护荣誉,热爱本职 秉公执法 不谋私利 严肃风纪 着装整洁,,,A,3（中）,5（好）,,,
9,A-A-A-002,B（单选题）,,办事公道是道德规范的重要范畴，其含义主要是（）。,不偏不倚，各打五十大板,坚持原则，按一定的社会标准，实事求是地待人处世,按领导的意图办事,按与个人关系好的人的意见办,,,B,3（中）,5（好）,,,
10,A-A-A-002,B（单选题）,,社会主义职业道德的基石和最高境界是（）。,奉献社会,服务群众,诚实守信,爱岗敬业,,,A,3（中）,5（好）,,,
11,A-A-A-002,B（单选题）,,关于社会公德的说法中，不属于其规范特点的是（）。,执行的有效性,范围的广泛性,具体行为的细微性,行为的外在礼仪性,,,A,3（中）,5（好）,,,
12,A-A-A-002,C（判断题）,,讲究质量、注重信誉是社会主义职业道德最重要的规范之一。（  ）,正确,错误,,,,,A,3（中）,5（好）,,,
13,A-A-A-002,C（判断题）,,社会公德的主要规范是:文明礼貌、助人为乐、爱护公物、勤俭持家、遵纪守法。(  ),正确,错误,,,,,B,3（中）,5（好）,,,
14,A-A-A-002,G（多选题）,,在职业道德行为规范中，对于团队合作的要求包括（ ）。,积极与团队成员沟通交流,乐于分享自己的经验和知识,互相指责，推诿责任,尊重团队成员的个性和观点,为了团队目标，愿意做出适当的妥协,,ABDE,3（中）,5（好）,,,
15,A-A-A-002,G（多选题）,,职业道德行为规范中，在对待工作任务方面，正确的做法有（ ）。,认真负责，尽力完成每一项工作任务,敷衍了事，能拖则拖,遇到困难就放弃，不努力克服,注重工作质量，严格把关,不断学习，提升自己完成工作任务的能力,,ADE,3（中）,5（好）,,,
16,A-A-A-003,B（单选题）,,不属于职业道德行为评价方式的是（）。,社会舆论,职业习俗,内心信念,群体评议,,,D,3（中）,5（好）,,,
17,A-A-A-003,B（单选题）,,职业道德评价不能够起到（）。,批判作用,激励作用,裁判作用,调节导向作用,,,A,3（中）,5（好）,,,
18,A-A-A-003,B（单选题）,,职业道德行为评价的类型不包括（）。,社会评价,上级评价,集体评价,自我评价,,,B,3（中）,5（好）,,,
19,A-A-A-003,B（单选题）,,衡量一个公民精神文明水平高低的重要标尺是（）。,职业道德,公民道德,遵纪守法,网络道德,,,B,3（中）,4（较好）,,,
20,A-A-A-003,C（判断题）,,职业道德行为评价按主体不同可以分为社会评价、集体评价和自我评价。（）,正确,错误,,,,,A,3（中）,5（好）,,,
21,A-A-A-003,C（判断题）,,对职业道德行为进行评价应“以事实为依据，以法律为准绳”。（）,正确,错误,,,,,B,3（中）,5（好）,,,
22,A-A-A-003,G（多选题）,,属于职业道德行为的自我评价方式的是（）。,自我反思，回顾自己在工作中的行为是否符合道德准则,与自己设定的职业道德目标进行对比，检查完成情况,参照同事的行为来评价自己的职业道德行为,根据行业内普遍认可的道德楷模的行为来衡量自己,按照自己的情绪和直觉判断自己的行为是否正确,,ABE,3（中）,5（好）,,,
23,A-A-A-003,G（多选题）,,职业道德行为的社会评价方式包括（ ）。,客户满意度调查，了解客户对从业者职业道德的评价,媒体曝光，通过媒体对从业者行为的报道来反映社会看法,行业协会的表彰或批评，基于行业标准进行评价,政府监管部门根据法律法规对从业者进行道德评定,同事之间的私下议论，形成对他人职业道德行为的评价,,ABCE,3（中）,5（好）,,,
24,A-A-A-004,B（单选题）,,法律对道德的影响主要体现是（     ）。,强制执行和惩罚措施,规范和约束行为范围,宣传道德价值观,保护公民权利和自由,,,B,3（中）,5（好）,,,
25,A-A-A-004,B（单选题）,,道德与法律是社会规范的两个重要方面，他们之间的关系是（     ）。,范围相同,互不重叠,相辅相成,层次相同,,,C,3（中）,5（好）,,,
26,A-A-A-004,B（单选题）,,法律更注重事后和判决和惩戒性，职业道德更注重事前对人们进行教育，因此具有（）。,预防性,先进行,统一性,互补性,,,A,3（中）,5（好）,,,
27,A-A-A-004,B（单选题）,,法律通过强制力来强化道德作用，确保道德底线，对道德起到促进作用，是道德的（）。,基础,补充,延续,支撑,,,D,3（中）,5（好）,,,
28,A-A-A-004,C（判断题）,,触犯了法律就一定违反了职业道德。,正确,错误,,,,,A,4（较难）,5（好）,,,
29,A-A-A-004,C（判断题）,,职业道德和法律都体现人民群众的利益和意志。,正确,错误,,,,,A,3（中）,5（好）,,,
30,A-A-A-004,G（多选题）,,关于职业道德与法律的联系，正确的是（ ）。,职业道德和法律都具有规范性，约束人们的行为,法律是职业道德的底线，违反法律的行为往往也违背职业道德,职业道德和法律在某些内容上相互交叉，例如在劳动保护方面,职业道德和法律的实施都需要一定的监督机制来保障,职业道德可以替代法律对某些行为进行制裁,,ABCD,3（中）,5（好）,,,
31,A-A-A-004,G（多选题）,,从保障机制来看，职业道德和法律的不同之处在于（ ）。,法律的保障主要依靠国家强制力，职业道德主要依靠行业自律和社会舆论,违反职业道德主要受到行业内部的谴责和处罚，违反法律会受到司法机关的制裁,职业道德的保障机制相对灵活，法律的保障机制更为严格和固定,法律保障具有普遍性，职业道德保障在不同行业有不同程度的体现,职业道德保障侧重于事前预防，法律保障侧重于事后惩罚,,ABCD,3（中）,5（好）,,,
